team,player_name,position,club,is_starter,notes
Algeria,Mohamed Amoura,,,1,auto: 8 intl goals since 2024-06-11
Algeria,Riyad Mahrez,,,1,auto: 4 intl goals since 2024-06-11
Algeria,Baghdad Bounedjah,,,1,auto: 2 intl goals since 2024-06-11
Algeria,Mohamed El Amine Amoura,,,1,auto: 2 intl goals since 2024-06-11
Algeria,Ibrahim Maza,,,1,auto: 2 intl goals since 2024-06-11
Algeria,Adil Boulbina,,,1,auto: 1 intl goals since 2024-06-11
Algeria,Amine Gouiri,,,1,auto: 1 intl goals since 2024-06-11
Algeria,Aïssa Mandi,,,1,auto: 1 intl goals since 2024-06-11
Algeria,Farès Chaïbi,,,1,auto: 1 intl goals since 2024-06-11
Algeria,Jaouen Hadjam,,,1,auto: 1 intl goals since 2024-06-11
Algeria,Zineddine Belaïd,,,1,auto: 1 intl goals since 2024-06-11
Argentina,Lautaro Martínez,,,1,auto: 9 intl goals since 2024-06-11
Argentina,Lionel Messi,,,1,auto: 6 intl goals since 2024-06-11
Argentina,Julián Alvarez,,,1,auto: 4 intl goals since 2024-06-11
Argentina,Thiago Almada,,,1,auto: 3 intl goals since 2024-06-11
Argentina,Alexis Mac Allister,,,1,auto: 2 intl goals since 2024-06-11
Argentina,Julián Álvarez,,,1,auto: 2 intl goals since 2024-06-11
Argentina,Giuliano Simeone,,,1,auto: 1 intl goals since 2024-06-11
Argentina,Enzo Fernández,,,1,auto: 1 intl goals since 2024-06-11
Argentina,Lisandro Martínez,,,1,auto: 1 intl goals since 2024-06-11
Argentina,Nicolás González,,,1,auto: 1 intl goals since 2024-06-11
Argentina,Nicolás Otamendi,,,1,auto: 1 intl goals since 2024-06-11
Argentina,Paulo Dybala,,,0,auto: 1 intl goals since 2024-06-11
Australia,Kusini Yengi,,,1,auto: 4 intl goals since 2024-06-11
Australia,Jackson Irvine,,,1,auto: 3 intl goals since 2024-06-11
Australia,Nishan Velupillay,,,1,auto: 3 intl goals since 2024-06-11
Australia,Martin Boyle,,,1,auto: 2 intl goals since 2024-06-11
Australia,Lewis Miller,,,1,auto: 2 intl goals since 2024-06-11
Australia,Adam Taggart,,,1,auto: 1 intl goals since 2024-06-11
Australia,Aziz Behich,,,1,auto: 1 intl goals since 2024-06-11
Australia,Connor Metcalfe,,,1,auto: 1 intl goals since 2024-06-11
Australia,Craig Goodwin,,,1,auto: 1 intl goals since 2024-06-11
Australia,Mitch Duke,,,1,auto: 1 intl goals since 2024-06-11
Australia,Nestory Irankunda,,,1,auto: 1 intl goals since 2024-06-11
Austria,Marko Arnautović,,,1,auto: 11 intl goals since 2024-06-11
Austria,Michael Gregoritsch,,,1,auto: 8 intl goals since 2024-06-11
Austria,Marcel Sabitzer,,,1,auto: 6 intl goals since 2024-06-11
Austria,Christoph Baumgartner,,,1,auto: 4 intl goals since 2024-06-11
Austria,Konrad Laimer,,,1,auto: 3 intl goals since 2024-06-11
Austria,Romano Schmid,,,1,auto: 3 intl goals since 2024-06-11
Austria,Stefan Posch,,,1,auto: 3 intl goals since 2024-06-11
Austria,Philipp Lienhart,,,1,auto: 2 intl goals since 2024-06-11
